prescribing_cost,date,prescribing_items,prescribing_quantity,organisation_code,organisation_name,year,month,cost_per_item
3174.13,2021-02-01,1065,34959,11M,NHS GLOUCESTERSHIRE,2021,2,2.9804037558685446
2712.1,2021-02-01,895,30026,11N,NHS CORNWALL AND THE ISLES OF SCILLY,2021,2,3.0302793296089385
1266.73,2021-02-01,383,17297,11X,NHS SOMERSET,2021,2,3.3073890339425587
2121.31,2021-02-01,683,26416,12F,NHS WIRRAL,2021,2,3.1058711566617863
1975.66,2021-02-01,648,23665,13T,NHS NEWCASTLE GATESHEAD,2021,2,3.0488580246913584
2651.01,2021-02-01,816,34821,14L,NHS MANCHESTER,2021,2,3.2487867647058826
2894.31,2021-02-01,961,36655,14Y,NHS BUCKINGHAMSHIRE,2021,2,3.0117689906347556
2632.2,2021-02-01,814,31719,15A,NHS BERKSHIRE WEST,2021,2,3.2336609336609334
4664.97,2021-02-01,1566,56512,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",2021,2,2.9789080459770116
6690.58,2021-02-01,2143,82561,15E,NHS BIRMINGHAM AND SOLIHULL,2021,2,3.1220625291647224
2108.32,2021-02-01,694,28912,15F,NHS LEEDS,2021,2,3.03792507204611
4733.66,2021-02-01,1600,58808,15M,NHS DERBY AND DERBYSHIRE,2021,2,2.9585375
7384.03,2021-02-01,2373,89543,15N,NHS DEVON,2021,2,3.111685630004214
3349.35,2021-02-01,1027,39685,16C,NHS TEES VALLEY,2021,2,3.2612950340798443
6361.33,2021-02-01,2024,76909,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,2021,2,3.142949604743083
5341.63,2021-02-01,1679,58750,26A,NHS NORFOLK AND WAVENEY,2021,2,3.1814353782013103
2962.92,2021-02-01,940,37392,27D,NHS CHESHIRE,2021,2,3.1520425531914893
1632.74,2021-02-01,508,21161,36J,NHS BRADFORD DISTRICT AND CRAVEN,2021,2,3.2140551181102364
7190.83,2021-02-01,2345,89188,36L,NHS SOUTH WEST LONDON,2021,2,3.066452025586354
1027.07,2021-02-01,340,11471,42D,NHS NORTH YORKSHIRE,2021,2,3.0207941176470587
